match_id,match_date,recovery_time,recovery_x,recovery_y,recovery_player,recovery_player_id,time_to_attack,vert_progression,progression_speed,first_action_type,action_player
5674994,2025-04-04,1169922,92.0,22.0,S. Blackstenius,248583,2.402,6.0,2.497918401332223,pass,S. Blackstenius
5674994,2025-04-04,1190697,65.0,9.0,J. Andersson,52072,1.975,-7.0,-3.5443037974683542,pass,J. Andersson
5674994,2025-04-04,1244037,96.0,54.0,T. Eriksson,1064015,2.23,-8.0,-3.587443946188341,shot,F. Angeldahl
5674994,2025-04-04,1247224,91.0,53.0,T. Eriksson,1064015,1.291,4.0,3.098373353989156,shot,S. Blackstenius
5674994,2025-04-04,1247672,95.0,43.0,S. Blackstenius,248583,0.843,0.0,0.0,shot,S. Blackstenius
5674994,2025-04-04,1514807,53.0,51.0,K. Asllani,52644,3.783,-20.0,-5.286809410520751,pass,H. Lundkvist
5674994,2025-04-04,1617843,79.0,79.0,J. Rytting Kaneryd,248585,6.969,-1.0,-0.14349261013057826,pass,J. Rytting Kaneryd
5674994,2025-04-04,1680313,88.0,4.0,F. Rolfö,52410,3.048,9.0,2.952755905511811,pass,F. Rolfö
5674994,2025-04-04,1805106,52.0,7.0,J. Andersson,52072,4.108,9.0,2.1908471275559886,pass,F. Rolfö
5674994,2025-04-04,1852575,40.0,9.0,J. Andersson,52072,5.458,-3.0,-0.5496518871381458,pass,J. Andersson
5674994,2025-04-04,1856371,37.0,21.0,J. Zigiotti Olme,226313,1.662,0.0,0.0,pass,J. Andersson
5674994,2025-04-04,1873304,54.0,78.0,N. Björn,212490,1.734,4.0,2.306805074971165,pass,N. Björn
5674994,2025-04-04,1877629,69.0,71.0,K. Asllani,52644,1.817,-1.0,-0.5503577325261421,pass,K. Asllani
5674994,2025-04-04,1878021,68.0,66.0,K. Asllani,52644,1.425,0.0,0.0,pass,K. Asllani
5674994,2025-04-04,1880592,69.0,73.0,F. Angeldahl,212489,1.282,4.0,3.1201248049921997,pass,F. Angeldahl
